02;08;10;13;27;30
01;09;16;20;21;43
01;05;15;31;36;38
16;18;26;27;34;40
09;15;21;23;27;28
06;12;23;25;28;38
07;19;21;23;33;35
11;16;18;20;42;43
11;19;23;38;39;42
01;03;19;21;35;39
12;26;32;37;40;42
14;17;27;28;35;39
13;29;31;37;41;42
02;08;11;35;37;38
04;06;11;20;21;28
05;12;13;29;34;35
14;20;25;34;35;36
06;16;18;27;36;41
04;08;12;30;33;43
07;29;33;35;37;39
05;07;13;19;38;41
08;12;16;19;20;35
07;10;28;32;33;40
15;18;19;30;36;38
11;32;34;37;40;43
03;04;11;12;13;43
04;08;20;30;33;38
06;11;15;20;31;41
08;12;20;35;37;40
04;16;17;19;26;37
07;18;22;25;28;43
03;06;07;23;29;41
08;17;22;25;29;41
02;20;25;30;37;40
03;05;13;30;32;41
01;16;20;23;30;40
03;05;09;17;21;41
02;09;26;27;34;43
10;18;22;25;39;42
05;17;25;34;38;39
18;21;27;33;36;38
04;15;21;24;33;37
01;02;03;15;24;26
03;16;24;31;34;42
07;09;28;32;36;38
11;14;21;24;25;42
03;11;14;25;27;31
02;05;28;30;33;40
02;13;21;31;32;41
05;13;15;25;27;39
07;15;24;37;38;41
01;16;24;25;36;42
02;15;23;37;40;43
14;25;26;31;37;42
11;12;13;14;37;39
10;13;25;31;32;42
02;14;22;27;35;42
04;08;09;13;16;25
09;15;17;30;32;41
20;21;23;28;30;42
04;08;22;25;27;28
02;03;09;12;15;30
11;16;20;28;34;40
02;14;19;22;32;41
02;10;22;23;31;43
07;15;17;30;33;35
01;04;06;11;18;25
16;23;30;35;37;39
01;09;31;35;40;41
06;11;20;23;24;31
01;10;11;13;19;20
10;12;24;29;33;37
01;06;15;19;27;36
03;14;27;28;40;43
02;04;09;19;23;31
01;10;12;16;20;35
05;10;15;28;37;38
05;14;23;32;33;43
20;22;27;32;36;43
01;04;12;16;19;34
01;11;15;23;26;27
10;12;19;25;26;39
01;16;21;28;35;37
17;19;26;28;35;37
05;13;18;22;23;32
03;07;16;24;29;36
03;08;12;36;39;41
05;06;08;20;21;26
03;13;23;30;35;43
13;15;17;18;30;32
13;15;17;26;41;43
05;17;20;24;28;40
10;23;33;36;37;41
11;16;17;18;29;40
02;03;12;15;25;27
01;13;15;34;36;43
04;10;17;34;35;42
07;16;34;37;38;39
05;09;12;28;29;39
06;08;11;14;31;33
21;27;29;30;36;40
04;05;18;27;35;36
01;16;17;27;29;34
01;11;17;26;28;35
01;09;14;22;25;34
08;11;21;22;25;27
04;05;11;12;28;32
09;22;23;25;34;37
02;05;12;18;30;41
05;06;08;19;37;41
11;15;21;31;32;43
16;18;23;25;29;30
03;17;27;29;30;42
07;13;14;29;38;42
08;09;11;27;37;39
08;10;15;16;26;31
05;07;19;20;38;43
09;13;21;30;32;37
03;04;11;12;15;30
15;18;22;25;36;40
03;08;10;22;28;41
19;20;21;25;33;42
14;21;26;28;29;31
04;17;23;30;39;40
11;15;19;30;36;41
05;06;09;10;21;38
14;16;21;26;37;40
06;10;18;20;29;39
06;18;25;26;30;42
22;30;31;34;38;39
06;30;33;34;40;43
03;18;23;31;32;37
17;24;26;35;40;41
02;06;11;14;18;19
07;13;30;33;35;36
03;13;26;31;32;39
10;13;20;22;25;42
07;09;10;16;23;29
10;21;22;28;37;41
17;19;29;37;39;40
08;09;14;24;32;39
02;16;22;27;29;39
17;21;22;27;33;41
01;16;19;33;38;41
01;04;10;21;23;38
07;17;27;36;37;39
16;18;20;29;30;38
03;16;18;20;28;29
08;09;13;20;33;37
10;11;18;20;31;43
03;08;17;25;28;32
04;08;12;16;31;33
04;07;08;12;25;26
07;09;18;26;27;38
05;06;07;18;22;27
06;20;22;29;30;35
05;08;17;19;25;27
01;06;12;35;37;38
12;23;30;31;38;42
04;10;20;30;31;32
23;26;28;33;38;42
03;22;25;30;33;37
02;03;11;17;24;34
01;02;13;14;35;38
09;11;16;21;25;36
14;18;20;28;34;38
10;14;17;19;29;42
01;06;31;32;36;39
03;15;17;19;26;36
10;12;15;17;30;31
05;06;17;23;32;33
10;11;22;23;33;34
06;10;22;30;31;35
02;09;16;36;38;42
02;03;10;22;28;40
08;19;25;31;34;37
06;18;19;30;36;41
10;22;27;30;36;39
03;06;11;13;15;16
04;10;11;12;20;36
01;02;07;21;29;30
22;23;28;37;40;43
14;29;31;36;38;40
05;07;23;31;39;42
08;13;14;18;35;41
07;16;18;33;36;41
12;21;22;27;39;40
03;08;18;25;26;39
03;32;35;36;39;40
17;23;30;31;39;43
04;07;25;27;34;43
03;07;19;27;39;41
03;04;18;31;40;43
04;11;12;21;36;38
05;10;12;22;26;41
04;05;11;16;30;33
09;10;17;22;28;30
04;05;06;17;20;42
03;14;24;25;33;36
04;07;11;19;25;28
10;13;16;17;24;39
09;18;26;28;33;40
12;18;20;27;35;37
02;17;20;25;39;42
04;07;09;16;18;34
01;03;16;22;41;43
17;21;23;30;31;34
18;24;29;32;35;39
08;27;30;35;40;41
01;06;21;22;37;40
10;14;23;26;33;36
01;11;17;32;35;39
04;07;18;26;29;43
04;07;09;11;20;36
01;04;13;18;22;31
09;21;29;33;35;41
08;19;23;27;29;39
08;10;18;22;31;36
27;28;29;34;35;39
23;25;26;29;33;37
08;27;30;31;38;42
04;14;15;22;29;31
07;09;19;26;30;32
12;17;18;19;30;35
09;11;21;31;35;38
08;26;36;40;42;43
06;13;17;29;32;36
05;08;17;26;36;39
08;16;21;24;27;36
04;09;18;31;36;42
01;04;06;16;18;43
01;05;07;26;39;43
06;18;26;40;41;42
11;17;24;26;27;30
06;21;23;24;28;39
01;08;09;14;34;38
01;03;11;13;27;37
05;10;15;20;33;37
04;09;18;30;31;40
11;15;26;31;36;39
08;14;27;33;36;40
01;10;13;22;29;32
05;34;35;38;42;43
11;12;30;36;38;39
03;06;18;24;28;36
16;28;32;34;39;42
08;16;30;32;34;39
11;32;35;36;39;41
01;03;17;23;33;35
03;08;09;13;22;42
02;12;19;25;29;36
02;06;13;22;32;33
15;16;19;22;36;43
12;13;22;23;25;29
06;07;12;17;34;42
15;17;18;28;30;37
07;15;29;30;39;40
03;15;16;17;25;31
01;12;15;23;34;42
11;15;21;31;37;41
06;17;18;21;35;41
05;07;11;19;21;25
01;05;13;22;39;41
02;05;06;08;20;27
02;03;16;22;23;28
11;15;18;24;30;39
03;05;08;22;35;38
03;06;08;14;24;36
01;10;13;15;21;23
17;19;21;29;33;38
09;10;19;25;40;41
07;12;13;20;23;26
04;18;20;21;29;40
04;05;14;27;31;39
04;13;15;31;33;40
06;11;27;30;33;36
07;09;18;20;30;38
09;13;14;17;22;38
07;11;12;23;30;43
06;12;26;37;38;39
03;09;10;11;19;35
01;09;17;31;41;43
06;09;16;22;27;37
20;26;30;33;35;38
01;03;09;14;16;29
10;11;14;28;31;41
01;05;18;34;35;39
03;04;11;25;28;33
07;09;12;17;34;38
11;13;15;17;22;43
10;15;20;28;41;43
07;14;27;31;34;39
06;08;15;17;36;43
02;05;13;14;17;20
09;12;18;20;37;43
04;19;27;30;31;37
06;08;09;20;38;40
